127.0.0.1 - - [11/Mar/2025:09:11:57 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:11:58 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:11:58 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:11:58 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:16:13 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:16:13 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:16:14 +0700] "GET /Project3/categories.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:17:29 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:17:29 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:17:29 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:17:32 +0700] "GET /Project3/categories HTTP/1.1" 500 1306
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:18:21 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:18:21 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:18:21 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:18:22 +0700] "GET /ChiTieu/categories.jsp HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:20:26 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:20:26 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:20:26 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:20:28 +0700] "GET /Project3/categories.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:21:23 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:21:23 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:22:21 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 5120
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:22:21 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:22:24 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:24:11 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4428
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:24:11 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:24:16 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:24:48 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:24:48 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:24:49 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:24:52 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:25:20 +0700] "GET /Project3/dashboard.jsp HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:25:20 +0700] "GET /Project3/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:25:23 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:26:39 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:26:53 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:27:17 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:27:42 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:10:49:42 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
0:0:0:0:0:0:0:1 - - [11/Mar/2025:10:49:53 +0700] "GET /Project3/ChiTieu/categories.jsp HTTP/1.1" 200 7088
